freq_range,freq_range_mhz,freq_unit,itu_intl_region1_2_services,itu_intl_footnotes,itu_region3_services,usa_federal_services,usa_federal_footnotes,usa_nonfederal_services,usa_nonfederal_footnotes,typical_devices_applications,note
141-148.5,0.1410-0.1485,kHz,,,,FIXED | MOBILE | RADIO ASTRONOMY | RADIOLOCATION,US342,,,"Radio telescopes, scientific receivers; Radar systems, speed guns, weather radar; Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
143.6-143.65,0.1436-0.1436,kHz,FIXED | MOBILE | RADIOLOCATION | S PACE RESEARCH (space-to-Earth),,FIXED | MOBILE | SPACE RESEARCH (space-to-Earth),,,,,"Radar systems, speed guns, weather radar; Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
143.65-144,0.1436-0.1440,kHz,FIXED | MOBILE | RADIOLOCATION | S pace research (space-to-Earth),,FIXED | MOBILE | Space research (space-to-Earth),,,,,"Radar systems, speed guns, weather radar; Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
144-148,0.1440-0.1480,kHz,,,,,,AMATEUR | AMATEUR-SATELLITE,,"Ham radio transceivers, SDR receivers",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
146-148,0.1460-0.1480,kHz,AMATEUR,5.217,AMATEUR | FIXED | MOBILE,,,AMATEUR,,"Ham radio transceivers, SDR receivers",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
148-149.9,0.1480-0.1499,kHz,FIXED | MOBILE | MOBILE-SATELLITE (Earth-to-space) 5.209,5.218 5.219 5.221,,FIXED | MOBILE | MOBILE-SATELLITE | (Earth-to-space) US319,US320 US323 US325 5.218 5.219 G30,MOBILE-SATELLITE | (Earth-to-space) US320,US323 US325 5.218 5.219 US319,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
148.5-151.5,0.1485-0.1515,kHz,,,,EARTH EXPLORATION-SATELLITE (passive) | RADIO ASTRONOMY US74 | SPACE RESEARCH (passive),US246,,,"Radio telescopes, scientific receivers; Satellite phones, VSAT terminals, satellite internet; Deep space probes, scientific satellites",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
149.9-150.05,0.1499-0.1501,kHz,,,,MOBILE-SATELLITE (Earth-to-space) US319 US320 | RADIONAVIGATION-SATELLITE,,,,"GPS receivers, GNSS devices; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
150.05-154,0.1501-0.1540,kHz,FIXED | MOBILE,5.225,,FIXED | MOBILE,US73 G30,,US73,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
150.8-152.855,0.1508-0.1529,kHz,(See previous page),,,,US73,FIXED | LAND MOBILE NG4 NG51 NG112,US73 NG124,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
151.5-155.5,0.1515-0.1555,kHz,,,,FIXED | MOBILE | RADIO ASTRONOMY | RADIOLOCATION,US342,,,"Radio telescopes, scientific receivers; Radar systems, speed guns, weather radar; Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
152.855-156.2475,0.1529-0.1562,kHz,,,,,,LAND MOBILE NG4,NG124,"Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
154-156.4875,0.1540-0.1565,kHz,FIXED | MOBILE,5.226,FIXED | MOBILE,,,FIXED | LAND MOBILE NG112,5.226 NG22 NG124 NG148,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
156.2475-156.5125,0.1562-0.1565,kHz,,,,,5.226 US52 US227 US266,MARITIME MOBILE NG22,5.226 US52 US227 US266 NG124,"Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
156.5125-156.5375,0.1565-0.1565,kHz,,,,"MARITIME MOBILE (distress, urgency, safety and calling via DSC)",5.111 5.226 US266,,,"Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
156.5375-156.7625,0.1565-0.1568,kHz,,,,,5.226 US52 US227 US266,MARITIME MOBILE,5.226 US52 US227 US266,"Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
156.5625-156.7625,0.1566-0.1568,kHz,FIXED | MOBILE,5.226,,,,,,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
156.7625-156.7875,0.1568-0.1568,kHz,MARITIME MOBILE | MOBILE-SATELLITE (Earth-to-space),5.111 5.226 5.228,MARITIME MOBILE | Mobile-satellite (Earth-to-space),MOBILE-SATELLITE (Earth-to-space) (AIS 3),5.226 US52 US266,,,"Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
156.7875-156.8125,0.1568-0.1568,kHz,,,,"MARITIME MOBILE (distress, urgency, safety and calling)",5.111 5.226 US266,,,"Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
156.8125-156.8375,0.1568-0.1568,kHz,MARITIME MOBILE | MOBILE-SATELLITE (Earth-to-space),5.111 5.226 5.228,MARITIME MOBILE | Mobile-satellite (Earth-to-space),MOBILE-SATELLITE (Earth-to-space) (AIS 4),5.226 US52 US266,,,"Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
156.8375-157.0375,0.1568-0.1570,kHz,,,,,5.226 US52 US266,MARITIME MOBILE,5.226 US52 US266,"Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
157.0375-157.1875,0.1570-0.1572,kHz,,,,MARITIME MOBILE US214,5.226 US266 G109,,5.226 US214 US266,"Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
160-190,0.1600-0.1900,kHz,FIXED,,FIXED | Aeronautical radionavigation,FIXED | MARITIME MOBILE,US2,FIXED,US2,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
161.575-161.625,0.1616-0.1616,kHz,,,,,5.226 US52,MARITIME MOBILE,5.226 US52 NG6 NG17,"Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
161.625-161.9625,0.1616-0.1620,kHz,,,,,US266,LAND MOBILE NG6,5.226,"Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
161.9375-161.9625,0.1619-0.1620,kHz,FIXED | MOBILE | Maritime mobile-satellite (Earth-to-space) 5.228AA,5.226,,,,,,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
161.9625-161.9875,0.1620-0.1620,kHz,AERONAUTICAL MOBILE (OR) | MARITIME MOBILE | MOBILE-SATELLITE (Earth-to-space),5.228C 5.228D,MARITIME MOBILE | Aeronautical mobile (OR) 5.228E | Mobile-satellite (Earth-to-space),AERONAUTICAL MOBILE (OR) (AIS 1) | MARITIME MOBILE (AIS 1) | MOBILE-SATELLITE (Earth-to-space) (AIS 1),5.228C US52,,,"Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
161.9875-162.0125,0.1620-0.1620,kHz,FIXED | MOBILE | Maritime mobile-satellite (Earth-to-space) 5.228AA,5.226,,,,MOBILE except aeronautical mobile,5.226,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
162.0125-162.0375,0.1620-0.1620,kHz,AERONAUTICAL MOBILE (OR) | MARITIME MOBILE | MOBILE-SATELLITE (Earth-to-space),5.228C 5.228D,MARITIME MOBILE | Aeronautical mobile (OR) 5.228E | Mobile-satellite (Earth-to-space),AERONAUTICAL MOBILE (OR) (AIS 2) | MARITIME MOBILE (AIS 2) | MOBILE-SATELLITE (Earth-to-space) (AIS 2),5.228C US52,,,"Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
162.0375-174,0.1620-0.1740,kHz,FIXED | MOBILE,5.226 5.230 5.231,,FIXED | MOBILE,US8 US11 US13 US55 US73 US300 US312 G5,,US8 US11 US13 US55 US73 US300 US312,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
173.2-173.4,0.1732-0.1734,kHz,,,,,,FIXED | Land mobile,,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
173.4-174,0.1734-0.1740,kHz,,,,FIXED | MOBILE,G5,,,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
174-216,0.1740-0.2160,kHz,BROADCASTING | Fixed | Mobile,,FIXED | MOBILE | BROADCASTING,,,BROADCASTING,NG5 NG14 NG115 NG149,"AM/FM radios, DAB receivers, TV sets; Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
190-200,0.1900-0.2000,kHz,AERONAUTICAL RADIONAVIGATION,,,AERONAUTICAL RADIONAVIGATION US18,US2,,,"ILS, VOR, DME, TACAN, instrument landing systems",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
191.8-200,0.1918-0.2000,kHz,,,,FIXED | INTER-SATELLITE | MOBILE 5.558 | MOBILE-SATELLITE | RADIONAVIGATION | RADIONAVIGATION-SATELLITE,5.341 5.554 US211 US342,,,"GPS receivers, GNSS devices; Satellite phones, VSAT terminals, satellite internet; Mobile phones, cellular base stations (2G/3G/4G/5G); Point-to-point microwave links, satellite earth stations",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
200-275,0.2000-0.2750,kHz,AERONAUTICAL RADIONAVIGATION | Aeronautical mobile,,AERONAUTICAL RADIONAVIGATION | Aeronautical mobile,AERONAUTICAL RADIONAVIGATION US18 | Aeronautical mobile,US2,,,"Mobile phones, cellular base stations (2G/3G/4G/5G); ILS, VOR, DME, TACAN, instrument landing systems",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
200-209,0.2000-0.2090,kHz,,,,EARTH EXPLORATION-SATELLITE (passive) | RADIO ASTRONOMY US74 | SPACE RESEARCH (passive),5.341 5.563A US246,,,"Radio telescopes, scientific receivers; Satellite phones, VSAT terminals, satellite internet; Deep space probes, scientific satellites",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
209-217,0.2090-0.2170,kHz,,,,FIXED | FIXED-SATELLITE (Earth-to-space) | MOBILE | RADIO ASTRONOMY,5.341 US342,,,"Radio telescopes, scientific receivers; Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
216-220,0.2160-0.2200,kHz,FIXED | MARITIME MOBILE | Radiolocation 5.241,5.242,,Fixed | Land mobile,US210 US241 G2,FIXED | MOBILE except aeronautical mobile,US210 US241 NG173,"Radar systems, speed guns, weather radar; Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
217-220,0.2170-0.2200,kHz,,,,Fixed | Mobile,US210 US241,,,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
217-226,0.2170-0.2260,kHz,,,,FIXED | FIXED-SATELLITE (Earth-to-space) | MOBILE | RADIO ASTRONOMY | SPACE RESEARCH (passive) 5.562B,5.341 US342,,,"Radio telescopes, scientific receivers; Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G); Deep space probes, scientific satellites",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
220-225,0.2200-0.2250,kHz,AMATEUR | FIXED | MOBILE | Radiolocation 5.241,,,FIXED | LAND MOBILE,US241 US242,,,"Ham radio transceivers, SDR receivers; Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G); Radar systems, speed guns, weather radar",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
220.00-220.55,0.2200-0.2206,kHz,"Redstone Arsenal……………………………………………….............. | Fort Huachuca………………………………………………………..… | Yuma Proving Ground………………………………………................. | Beale AFB…………………………………………………………….... | Camp Parks Reserve Forces Training Area………………...……..…… | China Lake Naval Air Weapons Station…………………………..…… | Edwards AFB………………………………………………………..…. | Fort Irwin……………………...……………………………………..… | Marine Corps Air Ground Combat Center………………………...…... | Buckley AFB……………………..……………………..…………..…. | Schriever AFB…………………………………………………….....… | Fort Gordon…………………………………………………................. | Naval Satellite Operations Center………………………………...….... | Naval Computer and Telecommunications Area Master Station, Pacific | Fort Detrick………………………………………………………..…… | Nellis AFB…………………………………………………………..…. | Nevada Test Site……………………………………………………..… | Tonapah Test Range Airfield…………………………………...…….... | Cannon AFB……………………………………………….................... | White Sands Missile Range……………………………………............. | Dyess AFB…………………………………………………………..…. | Fort Bliss……………………………………………………………..… | Fort Sam Houston…………………………………………………….... | Goodfellow AFB…………………………………………………..…… | Kelly AFB……………………………….……………...…………..….. | Utah Test and Training Range……………………………….……….... | Fort Belvoir………………………………………………………..…… | Naval Satellite Operations Center.……………………………...…..….",,AL | AZ | AZ | CA | CA | CA | CA | CA | CA | CO | CO | GA | GU | HI | MD | NV | NV | NV | NM | NM | TX | TX | TX | TX | TX | UT | VA | VA,Huntsville | Sierra Vista | Yuma | Marysville | Dublin | Ridgecrest | Rosamond | Barstow | Twentynine Palms | Aurora (Denver) | Colorado Springs | Augusta | Finegayan (Guam) | Wahiawa (Oahu Is.) | Frederick | Las Vegas | Amargosa Valley | Tonapah | Clovis | White Sands | Abilene | El Paso | San Antonio | San Angelo | San Antonio | ….. | Alexandria | Chesapeake,,,,"Satellite phones, VSAT terminals, satellite internet",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
222-225,0.2220-0.2250,kHz,,,,,,AMATEUR,,"Ham radio transceivers, SDR receivers",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
